CourseCode,Experience,Improvement,Interesting,Practical,FairGradingCourse,GainedNewSkills,ManageableWorkloadCourse,FirstName,LastName,CourseDescription,CreatedAt
COR1305,"Gained a lot of very practical excel skills but do be warned the project requires you to find your own client and data which can not only be very challenging but the client may not expect the appropriate problem solving that your prof wants you to do. Best if you have connections with someone willing to provide data without high expectation for results and capable teammates, or it will be very tough if your teammates cannot manage the workload and dump the rest of the project on you. Expect to have frequent communication with your client and needing to revise your model several times too as real life models are not as simple as what is taught in class.",find good teammates and have a project/client willing to cooperate early,False,True,False,True,False,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2022-06-28T21:19:26+08:00
COR1305,"To be honest, this mod may be very useful for your future work if your job demands a lot of Excel skills. However, it is definitely challenging if you are a not a math person and/or have no experience with Excel before. I took SMA under prof Wang Hai in AY2021-2022 sem 2. His classes are expensive but trust me, they are worth the money! Prof is very very nice and considerate, and his lessons are very easy to follow. Based on my experience, there are two extra things that would probably help: 1. If possible, find your groupmates before bidding into the class. The project is heavy and intellectually challenging (if you want to score well), so good groupmates would really make your life a lot easier.  2. Final is tough, so be prepared for it…",NIL,False,False,False,False,False,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2022-04-20T14:24:11+08:00
COR1305,"SMA is one of the most useless courses for the working world, especially for skillsets that you ""think"" will be helpful in the working world.  Never in your life will you ever likely need to simulate a gas station queue or someone's monte carlo example unless you're a working in operations, or an absolute nutjob with nothing better to do in life. Took this mod because I thought I might learn something useful for internship/employers - what's important are basic stuff like index-match, xlookup, pivot tables and visualisation/handling of big data. As a Year 4 student, this has got to be one of the most useless mods I've ever taken to far. Thanks to SMA i can now model an approximate reduced bastardisation of a gas station queue! thanks profs! Took plenty of useless mods so far, this wins the top grand president's distinguished prize of the highest honor  Out of all the working professional friends I've talked to, absolutely NOBODY has ever told me they've used excel solver in the work, and it's unintuitive AND slow. Exceptional example of academic bloat and mismatch between curricula/real world.","Out of everything you learn, approximately 5~10% of it will actually be useful in the working world, depending on your job. Save your grades and soul and avoid this especially if it's not compulsory. You can learn excel on the job or via courses online without screwing your GPA further than it already is. People tell you oh its useful for internship UH YEAH OK you can just ask your friends to teach you the most useful functions, or borrow their notes. Save your misery and trouble.  edit: lmao look at the reviews with most number of negatives, SMA is an ancient piece of outdated jokie, they literally give you videos of a prof teaching excel from 2013 and before bro",False,False,False,False,False,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2022-04-19T20:10:33+08:00
COR1305,"Disclaimer: I took this module under Prof Manoj Thulasidas.  This module does a great job of exposing me to various, lesser used Microsoft Excel features. It also provides me with greater confidence in utilising Microsoft Excel. By paying close attention to the seminars, one should find the individual assignments somewhat manageable. By practising, one should be able to tackle the final examination and get a somewhat satisfactory score (but finishing the whole paper and/or getting full marks, will require more effort).","I do feel that more assistance should be provided with regards to the group project. Asking students to source for their own clients and to scope out their projects with reference to content that they have not been taught (as this stage of the project is done around week 4) are two very challenging tasks. It also should be noted that many of the concepts in SMA are taught at a rather basic level. Thus, for further proficiency (though not needed for SMA's assessments), one may need to continue studying and exploring beyond SMA. For example, to better comprehend the Solver feature, one may choose to take the Decision Analysis module.",True,True,True,True,True,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-12-20T12:14:52+08:00
COR1305,"Content wise, it is rather okay with only 7 weeks of actual learning materials and the rest can be focused on the project. Project wise, have to work with external company for the data, which can make it hard as you need to source for one if your group have no contact or find for open source data. Very practical if you need to use excel in the future.","Update content, as some of the exercises were not updated for a while.",False,True,False,False,False,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-11-03T18:05:33+08:00
COR1305,"I highly recommend this mod to everyone as Excel is a very useful tool and this mod really teaches you a lot about it and most importantly gives you many opportunities to apply and practice your skills. At first I was put off by the demanding group project (have to work with real world client and source for it yourself) but in the end it wasn't that bad and was in fact a great way to apply all that we had learnt to make something with practical value. The profs also provide an insane amount of resources- lecture videos, class exercises, lots and lots of practice questions- it's almost overwhelming (but you don't HAVE to do it all, hence the manageable workload). I really learnt a lot from this mod while having fun, 10/10 would do it again if I could!",Include SPILL/array functions and Pivot Tables in the syllabus,True,True,True,True,True,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-10-31T02:03:44+08:00
COR1305,"As of AY21/22  1. Horrible mod to take if you think this is a intro to Excel mod. You'll do good aside from the project...which seems to be the main stumbling block for most. The course throws you straight without introducing much Excel...do not take it if you are a absolute beginner who can't be bothered to learn on Youtube/Coursera/other MOOCs.    2. Project is killer. Work and bid with people or seniors (preferably) who have a better grasp on Excel or are pure geniuses. The project requirements are 'flexible' but you have to solve the client's problem, which could be unrealistic.   3. Course doesn't seem very effective in terms of teaching ... I find myself requiring to spend a lot of my time to go through the practices again after it is taught.  -yaos","Project is way too hard. Client that you are working with may not provide you with the best data.  More likely, than not the outcome of your project looks good on the outside, but with severely flawed methodologies. i.e. you won't do well. More leniency should be looked at for projects that did not have much to work with, but for fairness, not realistically possible.",True,True,True,True,False,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-10-30T12:31:03+08:00
COR1305,"I took this module under Gabriel Wong, I would not recommend to take him but if you have pretty strong foundation then I guess he is okay. If not, I guess you will just have to rely on Prof Michelle;s videos and self-study.",Prof Gab needs to work on engaging the class,False,False,False,False,False,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-06-29T23:05:59+08:00
COR1305,Very good experience learning the module because excel is a very popular tool in the every industry we can think of right now. The learning materials are useful and able to build a good foundation to analytical excel skills,Nope all good,True,True,True,True,True,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-06-28T13:40:34+08:00
COR1305,"Michelle Chong is a good prof :D When she explain the concepts in class, they are manageable. Furthermore, the resources given are very reliable :D. Need to class part alot to score though! Furthermore, the skills taught are actually helpful in the long run.",n/a,True,True,True,True,True,Anonymous,,"In this course, students acquire practical skills (bridging technology and real-world situations) in modeling and resolving business problems using personal computers. With computers becoming essential tools for executives in most organisations, knowing how to effectively use them to solve problems will be very helpful in other business courses and the student's future professional career.ObjectivesUpon completing the course, students will• Know how to frame problems, and integrate various analytical skills (e.g. statistics and mathematics) to model and address management concerns.• Be comfortable with the personal computer, motivated to self-learn problem analysis computer tools and know where to get relevant information and system resources.• Be familiar with a variety of software solutions (e.g. add-ins) and gain competency in using a spreadsheet application as an analysis, model verification, simulation and management reporting tool.",2021-06-28T11:19:08+08:00
